"Name";"Link";"Price";"Discount Percentage"
"Yoga Basic Wide Waistband Sports Leggings";"https://eur.shein.com/Yoga-Basic-Wide-Waistband-Sports-Leggings-p-16874180.html";6.40;20
"Striped Drop Shoulder Jumper";"https://eur.shein.com/Striped-Drop-Shoulder-Jumper-p-4657102.html";10.50;30
"SHEIN Privé Women's Double-Breasted Sleeveless Blazer";"https://eur.shein.com/SHEIN-Priv-Women-s-Double-Breasted-Sleeveless-Blazer-p-29450280.html";15.00;0
"SHEIN Essnce Solid Flare Leg Pants";"https://eur.shein.com/SHEIN-Essnce-Solid-Flare-Leg-Pants-p-24483626.html";7.00;0
"Contrast Lace Sleeve Notched Neckline Blouse";"https://eur.shein.com/Contrast-Lace-Sleeve-Notched-Neckline-Blouse-p-24636664.html";11.00;0
"Yoga Basic Wideband Waist Crop Sports Leggings";"https://eur.shein.com/Yoga-Basic-Wideband-Waist-Crop-Sports-Leggings-p-10996956.html";7.20;20
"Solid Color Fashionable Sleeveless Vest With Round Neck Design";"https://eur.shein.com/Solid-Color-Fashionable-Sleeveless-Vest-With-Round-Neck-Design-p-28156417.html";7.00;0
"Tree & Butterfly Print Tee";"https://eur.shein.com/Tree-Butterfly-Print-Tee-p-24626138.html";5.00;0
"DAZY Women's Colorblock Lapel Collar Short Cut Long Sleeve Blazer Coat";"https://eur.shein.com/DAZY-Women-s-Colorblock-Lapel-Collar-Short-Cut-Long-Sleeve-Blazer-Coat-p-28996153.html";22.00;0
"SHEIN LUNE Women's Khaki Plaid Shirt With Lace Sleeve Detailing";"https://eur.shein.com/SHEIN-LUNE-Women-s-Khaki-Plaid-Shirt-With-Lace-Sleeve-Detailing-p-26587766.html";8.00;0
"Yoga Basic Wide Waistband Sports Shorts";"https://eur.shein.com/Yoga-Basic-Wide-Waistband-Sports-Shorts-p-16873010.html";5.00;0
"Women's Hooded Sweatshirt With Drawstring";"https://eur.shein.com/Women-s-Hooded-Sweatshirt-With-Drawstring-p-26423789.html";10.00;0
"SHEIN Swim Chicsea Women's Solid Color Swimsuit Set";"https://eur.shein.com/SHEIN-Swim-Chicsea-Women-s-Solid-Color-Swimsuit-Set-p-27380501.html";10.00;0
"DAZY Slant Pocket Straight Leg Jeans";"https://eur.shein.com/DAZY-Slant-Pocket-Straight-Leg-Jeans-p-22964065.html";16.80;20
"Street Sport Solid Color Drawstring Side Sport T-Shirt";"https://eur.shein.com/Street-Sport-Solid-Color-Drawstring-Side-Sport-T-Shirt-p-29457558.html";8.00;0
"Contrast Lace Cami Nightdress";"https://eur.shein.com/Contrast-Lace-Cami-Nightdress-p-22724156.html";5.00;0
"SHEIN Essnce Ladies' Solid Color Drop-shoulder Hooded Two Piece Set";"https://eur.shein.com/SHEIN-Essnce-Ladies-Solid-Color-Drop-shoulder-Hooded-Two-Piece-Set-p-26561044.html";15.00;0
"SHEIN LUNE Colorblock Half Zip Drop Shoulder Sweatshirt";"https://eur.shein.com/SHEIN-LUNE-Colorblock-Half-Zip-Drop-Shoulder-Sweatshirt-p-21188225.html";6.00;40
"SHEIN Essnce Solid Round Neck Tee";"https://eur.shein.com/SHEIN-Essnce-Solid-Round-Neck-Tee-p-15196315.html";3.20;20
